1	1990-12-13	F	18
2	1965-02-04	M	1
3	1960-10-09	F	1
4	1976-12-01	M	5
5	1980-07-03	F	5
6	1939-09-22	M	12
7	1949-01-25	M	15
8	1958-02-21	F	51
9	1955-10-16	M	60
10	1963-05-01	M	57
11	1970-08-22	F	57
12	2001-02-20	M	40
13	1994-05-29	F	54
14	1962-06-22	F	76
15	1938-08-28	F	21
16	1939-02-25	M	21
17	1954-10-13	M	76
18	1951-04-05	F	76
19	1962-12-28	M	47
20	1999-01-04	M	46
21	1972-10-29	F	12
22	1989-10-11	F	1
23	1993-05-29	M	1
24	1959-07-29	F	43
25	1959-04-23	F	21
26	1989-04-20	F	74
27	1986-03-26	F	54
28	1965-09-29	M	1
29	1971-09-11	F	30
30	1977-10-09	F	74
31	1982-02-09	M	68
32	2000-07-28	M	52
33	1968-12-04	F	73
36	1998-07-17	F	7
37	1990-08-10	M	7
38	1993-07-23	F	36
39	1988-01-25	M	68
40	1977-01-22	F	5
41	1988-08-27	M	22
42	1955-08-17	M	68
43	1940-10-28	M	75
44	1997-01-11	F	38
45	1972-08-26	M	20
46	1960-01-30	F	19
47	1954-07-14	M	76
48	1960-02-09	M	16
49	1979-05-11	F	72
50	1998-07-30	F	39
51	1999-12-02	F	36
52	1944-12-12	M	32
53	1997-05-05	M	64
55	1968-09-18	F	45
56	1980-03-31	M	21
57	1981-12-17	F	21
58	1947-04-29	F	1
59	1977-02-18	M	1
60	2000-02-19	M	67
61	1968-08-06	F	16
62	1952-12-08	M	77
63	1979-06-04	M	4
64	1946-04-22	M	20
65	1963-05-27	F	50
66	1971-11-10	F	1
67	1952-11-11	F	29
68	1966-12-14	M	43
70	1945-12-22	M	70
71	1947-02-06	F	70
72	1943-01-13	M	47
73	1944-02-20	M	22
74	1945-07-26	F	22
75	1997-09-19	F	64
76	1987-10-01	F	36
77	1976-02-18	F	1
78	1964-06-13	F	16
79	1989-03-10	F	37
80	1999-02-25	F	64
81	1996-04-29	M	8
82	1999-12-25	F	8
83	1998-12-25	F	1
84	1999-05-05	M	1
85	1981-08-27	M	1
86	1989-07-20	F	1
87	1966-11-17	F	72
89	1971-05-05	F	1
90	1995-08-17	M	52
91	1960-08-07	M	63
92	1986-06-12	F	74
93	1945-02-16	M	3
94	1967-09-09	M	43
95	1972-08-03	F	43
96	1992-02-29	M	74
97	1985-11-28	M	26
98	1993-05-04	F	33
99	1993-01-26	M	33
100	1962-08-11	F	44
101	1963-01-23	M	68
102	1978-09-10	F	74
103	1975-07-11	M	74
105	2000-05-26	M	31
106	1988-12-30	F	68
107	1992-06-23	M	1
108	1983-09-13	M	17
110	1987-04-13	F	2
112	1955-01-25	M	1
113	1960-08-15	F	1
114	1989-06-24	F	74
115	1989-12-24	M	74
116	1962-01-28	M	74
117	1956-09-20	F	74
118	1942-07-19	M	55
119	1942-02-28	F	55
120	1996-05-10	M	1
121	1998-10-29	F	41
122	1983-11-13	F	35
123	1989-02-12	M	11
124	1987-09-21	M	44
125	1956-10-31	M	37
126	1949-09-27	F	37
127	1970-12-27	F	21
128	1993-04-04	F	63
129	1967-05-31	F	64
130	1962-02-14	M	53
131	1997-01-31	F	53
132	1973-01-26	M	36
134	1952-01-18	M	6
135	1958-09-10	F	6
136	1941-01-26	F	55
137	1943-09-14	M	60
138	1992-10-21	F	54
139	1979-07-25	F	8
140	1981-06-06	M	8
141	1945-11-02	M	31
142	1957-06-21	M	68
143	1998-07-09	M	27
144	1978-12-06	M	65
145	1998-02-14	M	55
146	1981-12-19	F	31
147	1953-11-02	F	21
148	1960-12-25	M	21
149	1968-06-27	M	55
150	2000-09-27	F	2
151	1991-09-23	F	51
152	1965-12-02	F	29
153	2001-02-12	F	13
154	1953-08-27	M	74
155	1959-03-13	F	74
156	1950-07-22	F	54
157	1963-07-09	F	52
158	1965-07-03	F	40
159	1958-09-10	M	40
160	1962-04-26	F	64
161	1963-10-07	F	34
162	1961-10-17	M	65
163	1953-06-12	M	74
164	1982-04-04	F	70
165	1988-11-08	M	22
166	1981-10-22	F	22
167	1998-04-18	F	38
168	1996-11-05	F	24
169	1973-09-12	M	38
170	1966-06-16	F	38
171	1949-06-25	M	51
172	1955-10-05	F	51
173	1938-12-08	F	21
174	1998-11-10	M	10
175	1980-07-13	M	31
176	1949-03-11	M	4
178	1980-12-22	M	8
179	2000-12-29	M	43
180	2002-01-19	M	73
181	1987-07-06	M	76
182	1979-07-13	F	76
183	1998-03-19	F	1
184	1992-06-05	M	1
185	1974-05-30	M	77
186	1981-02-22	F	46
187	1962-08-23	M	58
188	1980-09-02	M	64
189	1939-08-10	M	11
190	1967-10-31	F	37
191	1974-09-03	M	37
192	1991-02-28	M	70
193	1982-05-01	M	1
194	1944-12-20	F	28
195	1939-11-18	M	74
196	1947-06-25	F	74
197	1953-04-25	M	30
198	1996-07-14	M	60
199	1943-06-21	M	29
200	1948-01-13	F	29
201	1950-08-19	F	17
202	1996-11-21	F	29
203	1982-06-10	M	31
204	1987-06-17	F	31
205	1962-06-15	F	4
206	1983-04-13	F	59
207	1952-05-20	M	46
208	1960-06-25	F	13
209	1955-08-20	M	13
210	1959-11-30	M	66
211	1965-06-28	F	66
212	1995-02-10	M	52
215	1987-09-24	M	71
216	1980-01-30	M	1
217	1994-12-22	F	59
218	2000-01-23	F	1
219	1984-04-02	F	60
221	1997-02-25	F	21
222	1992-06-29	F	47
223	1972-02-27	F	43
224	1975-05-11	M	77
225	1956-05-10	M	32
226	1962-06-16	M	1
227	1946-12-18	F	52
228	1976-03-16	F	48
229	1989-07-22	M	76
230	1987-03-10	F	74
231	1961-02-18	M	41
232	1941-06-17	F	55
233	1978-12-03	F	69
234	1975-06-21	M	69
235	1963-08-28	F	44
236	1981-09-01	M	70
237	1989-02-22	F	70
238	1981-11-28	F	6
239	1994-09-10	F	1
240	1949-06-17	F	34
241	1979-01-23	M	70
242	1981-08-01	F	17
243	1974-02-10	M	63
246	1990-12-28	F	67
247	1977-05-08	M	1
248	1989-12-12	F	61
249	1990-05-05	M	61
250	1999-11-25	F	8
251	1996-03-03	F	54
252	1989-09-01	F	37
253	1967-05-12	F	48
254	1983-05-30	M	28
255	1971-10-11	F	27
256	1983-02-27	F	73
