1	18	2015-03-24	M
2	1	2013-02-26	M
3	5	2017-07-07	M
4	12	2016-02-21	M
5	15	2017-05-30	M
6	51	2014-09-27	M
7	60	2016-11-24	M
8	57	2015-09-21	M
9	70	2013-01-27	M
10	54	2016-08-28	M
11	76	2015-10-10	M
12	21	2017-04-15	M
13	76	2017-08-17	M
14	47	2016-11-27	M
15	70	2013-10-02	M
16	12	2017-09-23	M
17	1	2017-01-08	M
18	43	2013-05-26	W
19	21	2015-04-07	M
20	74	2016-08-24	M
21	54	2017-12-06	M
22	1	2014-03-23	M
23	30	2013-05-22	M
24	74	2016-12-05	M
25	68	2016-07-28	M
26	52	2013-08-08	M
27	73	2013-09-26	M
29	7	2014-11-24	M
30	36	2015-03-04	M
31	68	2014-04-27	M
32	5	2015-08-28	M
33	22	2013-08-26	M
34	67	2013-09-17	W
35	75	2013-07-07	M
36	1	2013-07-01	M
37	20	2017-08-18	M
38	19	2017-08-08	W
39	36	2013-09-22	M
40	64	2013-10-25	M
41	72	2017-08-02	M
42	39	2016-08-16	M
43	36	2014-06-12	M
44	32	2013-05-10	M
45	64	2017-09-02	M
47	45	2013-08-08	M
48	21	2016-11-17	M
49	1	2017-04-06	M
50	1	2014-05-06	M
51	67	2016-05-11	M
52	16	2017-01-29	M
53	77	2015-06-07	M
54	4	2015-05-02	M
55	20	2016-02-19	M
56	50	2014-05-16	M
57	1	2015-05-21	M
58	29	2016-08-23	M
59	43	2014-03-27	M
61	70	2013-12-11	M
62	47	2013-03-28	M
63	22	2016-11-16	M
64	64	2017-03-11	M
65	36	2016-10-29	M
66	48	2013-12-03	T
67	16	2014-10-19	M
68	37	2014-12-20	T
69	64	2016-01-12	M
70	8	2015-02-18	M
71	1	2014-03-05	M
72	1	2016-06-20	W
73	72	2013-11-08	M
75	1	2015-08-13	M
76	52	2016-05-16	M
77	63	2016-11-19	M
78	74	2013-07-07	M
79	3	2016-11-29	M
80	43	2015-09-27	M
81	74	2016-07-18	M
82	26	2014-05-03	M
83	26	2013-04-16	M
84	44	2015-12-25	T
85	68	2017-03-23	M
86	54	2013-03-07	M
88	31	2016-07-03	M
89	68	2017-09-25	M
90	1	2014-07-13	M
91	17	2016-11-06	M
93	2	2016-06-12	M
95	1	2015-03-30	M
96	68	2013-02-18	M
97	74	2016-05-05	M
98	55	2017-05-02	M
99	1	2015-06-27	M
100	41	2013-12-28	M
101	35	2016-04-16	M
102	11	2013-10-16	M
103	44	2016-03-10	M
104	37	2013-04-15	M
105	21	2017-07-10	M
106	63	2014-11-27	M
107	64	2013-11-05	M
108	53	2015-03-10	M
109	53	2017-04-20	M
110	36	2016-07-17	M
112	6	2013-03-12	M
113	55	2016-07-22	M
114	60	2017-03-14	M
115	68	2013-03-19	M
116	8	2016-03-21	M
117	31	2013-09-05	M
118	68	2017-09-18	M
119	27	2013-05-25	M
120	65	2015-06-16	W
121	55	2017-10-11	M
122	31	2016-10-30	M
123	21	2013-03-13	M
124	55	2017-12-28	M
125	2	2016-09-07	T
126	5	2013-10-23	M
127	29	2014-02-02	M
128	2	2013-02-19	M
129	74	2017-10-01	M
130	54	2017-02-12	M
131	52	2015-06-13	M
132	40	2016-05-11	T
133	64	2017-10-11	W
134	34	2017-12-10	M
135	75	2013-06-15	M
136	74	2016-05-14	M
137	70	2016-07-19	M
138	22	2015-09-19	M
139	38	2017-05-15	W
140	24	2016-06-25	M
141	38	2016-03-06	M
142	51	2013-02-15	M
143	21	2016-11-27	M
144	10	2017-04-03	W
