1	9	G	2018-10-16
2	19	C	2018-03-13
3	41	G	2015-09-03
4	42	C	2018-11-26
5	51	J	2015-04-24
7	56	C	2018-06-11
8	60	J	2018-05-20
9	76	C	2017-10-25
10	77	C	2016-12-07
11	79	G	2017-10-25
12	83	J	2016-09-11
13	87	C	2014-06-29
14	112	C	2016-02-17
15	114	C	2015-03-05
16	116	C	2018-06-23
17	127	C	2018-06-07
18	128	C	2015-08-25
19	130	C	2017-09-09
20	131	C	2018-12-02
21	132	C	2018-02-26
22	138	C	2017-01-11
23	146	C	2018-10-03
24	153	J	2016-08-05
25	158	C	2017-12-06
26	161	C	2018-09-14
27	167	J	2018-11-15
28	174	J	2018-01-22
29	192	C	2018-08-20
30	202	C	2017-10-01
31	208	C	2018-10-21
32	219	C	2018-08-06
33	221	J	2017-12-03
34	225	C	2018-03-20
35	231	C	2018-10-07
36	236	C	2018-09-28
37	238	C	2016-04-20
38	242	C	2016-08-31
39	254	C	2018-07-14
40	255	C	2016-10-13
41	256	C	2017-08-31
42	264	J	2018-07-28
43	267	C	2017-08-29
44	268	J	2016-05-17
45	272	C	2017-12-05
46	273	C	2018-11-10
47	280	C	2018-08-13
48	295	C	2018-03-10
49	305	C	2017-10-03
50	309	C	2017-05-28
51	321	C	2017-11-21
52	326	G	2018-04-10
53	333	C	2018-10-13
54	334	C	2017-01-24
55	335	C	2018-01-25
56	339	C	2018-11-22
57	347	C	2016-11-09
58	358	C	2018-03-11
59	365	C	2017-10-27
60	370	C	2018-10-18
61	374	C	2018-10-18
63	378	J	2018-03-27
64	402	C	2018-05-10
65	414	C	2018-02-02
66	425	C	2018-07-08
67	429	J	2018-01-28
68	434	C	2018-01-31
69	438	C	2017-05-17
70	439	C	2014-02-08
71	441	C	2018-04-11
72	447	C	2018-03-09
73	451	J	2018-07-21
74	453	C	2018-10-18
75	457	C	2017-07-29
76	464	C	2018-12-23
77	466	C	2018-08-13
78	468	C	2018-08-04
79	469	C	2018-09-02
80	471	C	2018-06-25
81	473	C	2017-12-17
82	474	C	2017-05-07
83	483	C	2018-01-05
84	487	C	2016-06-26
85	489	C	2015-12-31
86	490	C	2017-11-28
87	493	C	2016-11-02
88	496	C	2016-11-04
89	497	C	2018-04-22
90	503	C	2017-06-04
91	504	J	2017-09-01
92	508	C	2015-11-20
93	510	C	2017-11-09
94	513	C	2017-11-06
95	519	J	2018-08-01
96	528	C	2018-08-26
97	531	J	2015-09-19
98	537	C	2015-09-06
99	548	G	2016-10-09
100	562	G	2018-02-21
101	566	C	2018-06-19
102	575	C	2018-11-12
103	584	J	2016-08-17
104	588	C	2014-01-19
105	590	C	2017-01-17
106	592	C	2016-01-14
107	593	C	2015-06-27
108	597	C	2017-06-25
109	605	C	2018-04-26
110	608	C	2017-05-31
111	615	C	2018-06-05
112	626	J	2017-01-19
113	629	J	2015-11-16
115	638	C	2017-07-30
116	646	C	2018-10-11
117	649	J	2016-11-23
118	652	C	2015-10-22
119	655	C	2016-08-08
120	662	C	2017-07-03
121	666	J	2016-07-22
122	667	J	2017-07-03
123	679	C	2018-06-12
124	688	C	2017-10-10
125	694	G	2018-12-26
126	707	C	2018-05-23
127	714	C	2016-05-23
128	716	C	2018-08-19
129	719	C	2018-11-05
130	722	C	2017-12-29
131	725	C	2018-12-08
132	731	J	2018-02-26
133	742	C	2017-06-16
134	769	C	2018-09-07
136	778	C	2015-07-28
137	786	J	2017-01-10
138	791	C	2018-11-02
139	797	C	2017-07-14
140	798	C	2017-08-22
141	808	C	2018-09-15
142	810	C	2018-07-01
143	816	C	2018-06-15
145	819	C	2017-06-17
146	822	C	2018-07-23
147	826	J	2018-12-13
148	834	C	2018-11-22
149	858	C	2018-01-07
150	859	C	2016-03-30
151	861	C	2018-09-16
152	876	C	2016-09-16
153	886	G	2017-10-19
154	887	C	2017-12-28
155	900	J	2017-05-17
156	906	J	2018-04-07
157	907	C	2016-04-24
158	928	G	2018-10-25
159	946	C	2015-05-01
160	954	C	2018-06-17
161	963	C	2018-05-25
162	967	J	2016-12-23
163	984	C	2016-09-18
164	992	C	2018-11-29
165	996	J	2018-02-04
166	999	C	2015-03-05
167	1011	C	2015-09-15
168	1018	C	2015-01-24
169	1019	C	2018-08-10
170	1020	C	2018-04-16
171	1027	C	2017-03-05
172	1030	C	2018-12-14
173	1031	C	2018-06-21
174	1039	J	2014-12-04
175	1040	C	2017-01-03
